game_id,drive_id,offense,defense,drive_number,start_field_position,plays,yards,points,result,turnover,touchdown,field_goal,punt,success_rate,ppa,explosiveness
401551733,4015517334,Ohio,Georgia Southern,4,41.0,16,59.0,7,TD,0,1,0,0,0.3125,0.40065946715367784,1.7933933098615504
401551733,4015517335,Ohio,Georgia Southern,5,35.0,3,9.0,0,TO,1,0,0,0,0.3333333333333333,-0.13437000420784173,0.20629803871576868
401551733,4015517336,Ohio,Georgia Southern,6,79.0,4,7.0,0,OTHER,0,0,0,0,0.0,-1.0919257965511266,0.9
401551733,4015517337,Georgia Southern,Ohio,7,14.0,9,10.0,0,PUNT,0,0,0,1,0.3333333333333333,-0.09065953837329754,0.7209033917927542
401551733,4015517338,Ohio,Georgia Southern,8,38.0,4,62.0,7,TD,0,1,0,0,0.5,1.2382509101698727,2.988619137718713
401551733,4015517339,Ohio,Georgia Southern,9,35.0,6,8.0,0,TO,1,0,0,0,0.5,-0.18383597622867603,0.8111253790152064
401551735,4015517351,Marshall,UTSA,1,35.0,5,7.0,0,PUNT,0,0,0,1,0.2,-0.3010325581721596,0.3138158809285007
401551735,40155173510,Marshall,UTSA,10,27.0,5,73.0,7,TD,0,1,0,0,0.6,2.6421064018782197,2.6421064018782197
401551735,40155173511,Marshall,UTSA,11,35.0,10,85.0,7,TD,0,1,0,0,0.3,0.8854801723226484,3.2071162128364565
401551735,40155173512,UTSA,Marshall,12,35.0,5,29.0,7,PUNT,0,0,0,1,0.0,-0.356301006530017,0.9
401551735,40155173513,UTSA,Marshall,13,35.0,4,65.0,7,TD,0,1,0,0,0.5,1.3106792526728337,4.067941130787597
401551735,40155173514,UTSA,Marshall,14,35.0,7,93.0,3,FG,0,0,1,0,0.14285714285714285,0.24511871007526503,3.4919593823941604
401551735,40155173515,Marshall,UTSA,15,35.0,16,75.0,7,TD,0,1,0,0,0.625,0.4675196245939478,0.7073229407788755
401551735,40155173516,UTSA,Marshall,16,35.0,8,-1.0,0,PUNT,0,0,0,1,0.125,-0.3069129283158514,0.11401421884290563
401551735,40155173517,UTSA,Marshall,17,42.0,5,18.0,0,OTHER,0,0,0,0,0.4,0.4575513560339915,1.2611403780611532
401551735,40155173518,UTSA,Marshall,18,35.0,11,93.0,0,OTHER,0,0,0,0,0.09090909090909091,0.07657696236285047,3.0944913054850165
401551735,40155173519,UTSA,Marshall,19,35.0,3,8.0,0,TO,1,0,0,0,0.6666666666666666,-0.3125940851688847,0.6173313609904519
401551735,4015517352,Marshall,UTSA,2,30.0,7,21.0,0,PUNT,0,0,0,1,0.14285714285714285,-0.12013174888064056,3.167164936946559
401551735,40155173520,Marshall,UTSA,20,57.0,4,6.0,0,OTHER,0,0,0,0,0.25,-0.9119074780172864,0.0607259129586453
401551735,40155173521,UTSA,Marshall,21,37.0,11,63.0,7,TD,0,1,0,0,0.5454545454545454,0.5396775913418148,1.3565152686529525
401551735,40155173522,UTSA,Marshall,22,35.0,6,61.0,0,PUNT,0,0,0,1,0.16666666666666666,-0.09891110739450887,0.090922002905697
401551735,40155173523,UTSA,Marshall,23,28.0,4,3.0,0,PUNT,0,0,0,1,0.25,-0.43213763225157376,0.05388864547697025
401551735,40155173524,Marshall,UTSA,24,18.0,9,99.0,0,OTHER,0,0,0,0,0.1111111111111111,0.348434250792901,3.827747743499972
401551735,40155173525,UTSA,Marshall,25,20.0,4,9.0,0,PUNT,0,0,0,1,0.25,-0.18910275410483499,0.10514120986942643
401551735,40155173526,Marshall,UTSA,26,30.0,10,90.0,0,TO,1,0,0,0,0.3,-0.13072134810956565,2.20904235357209
401551735,40155173527,UTSA,Marshall,27,83.0,1,17.0,7,TD,0,1,0,0,1.0,2.579903102784414,2.579903102784414
