team,abbreviation,mascot,conference,logo_url,color,record,wins,losses,games_played,current_elo,model_rank,recent_elo_change,points_for_per_game,points_against_per_game,recent_margin_vs_expectation,momentum_score,momentum_label,schedule_strength_elo,schedule_strength_label,offensive_rating,defensive_rating,rating_note
Navy,NAVY,Midshipmen,American Athletic,https://cdn.collegefootballdata.com/logos/500/2426.png,#00225b,1-0,1,0,1,1609.2826787626482,23.0,7.9535658210247675,42.0,15.0,10.027584446891602,2.9045744027741387,Building sample,,Building sample,,,Not yet exported by production model
Arizona,ARIZ,Wildcats,Big 12,https://cdn.collegefootballdata.com/logos/500/12.png,#cc0033,1-0,1,0,1,1608.2833637573856,24.0,8.49775962202375,35.0,7.0,12.17740089671127,3.4692382052790047,Building sample,,Building sample,,,Not yet exported by production model
Washington,WASH,Huskies,Big Ten,https://cdn.collegefootballdata.com/logos/500/264.png,#33006f,1-0,1,0,1,1606.424628129874,25.0,24.824141684389588,24.0,10.0,5.150920194034626,2.528937132728136,Building sample,1503.5186422185911,Building sample,,,Not yet exported by production model
Virginia,UVA,Cavaliers,ACC,https://cdn.collegefootballdata.com/logos/500/258.png,#232d4b,1-0,1,0,1,1604.2440014456408,26.0,34.021490234151315,34.0,8.0,21.019858783174975,6.956039207501309,Building sample,1511.0598676959014,Building sample,,,Not yet exported by production model
South Florida,USF,Bulls,American Athletic,https://cdn.collegefootballdata.com/logos/500/58.png,#006747,1-0,1,0,1,1600.9149060683244,27.0,19.5829144597335,19.0,9.0,-3.1214144273543045,0.198792116148099,Building sample,1482.326850841506,Building sample,,,Not yet exported by production model
Old Dominion,ODU,Monarchs,Sun Belt,https://cdn.collegefootballdata.com/logos/500/295.png,#043657,1-0,1,0,1,1597.1625389671794,28.0,8.630043049926599,31.0,10.0,-3.0808925710237602,-0.3387209902596101,Building sample,,Building sample,,,Not yet exported by production model
Michigan,MICH,Wolverines,Big Ten,https://cdn.collegefootballdata.com/logos/500/130.png,#00274c,1-0,1,0,1,1593.4951700755057,29.0,11.208394007465358,13.0,12.0,1.9063716403597155,1.0370126104631967,Building sample,1556.3101785924891,Building sample,,,Not yet exported by production model
Memphis,MEM,Tigers,American Athletic,https://cdn.collegefootballdata.com/logos/500/235.png,#00498f,2-0,2,0,2,1593.195214576133,30.0,59.35474441248016,34.5,22.5,12.591787221082075,6.115684025894527,Surging,1518.6326626483797,Average,,,Not yet exported by production model
Pittsburgh,PITT,Panthers,ACC,https://cdn.collegefootballdata.com/logos/500/221.png,#003594,1-0,1,0,1,1590.910518956548,31.0,36.650042506295904,59.0,14.0,35.620749418661866,10.737689479980261,Building sample,1474.4533089192437,Building sample,,,Not yet exported by production model
LSU,LSU,Tigers,SEC,https://cdn.collegefootballdata.com/logos/500/99.png,#461d7c,1-0,1,0,1,1586.061835262534,32.0,50.07374808382451,51.0,10.0,37.90553306872991,11.980070671373703,Building sample,1528.292030377164,Building sample,,,Not yet exported by production model
New Mexico,UNM,Lobos,Mountain West,https://cdn.collegefootballdata.com/logos/500/167.png,#ba0c2f,1-0,1,0,1,1585.046353288679,33.0,28.015158279234583,38.0,7.0,20.025385644603467,6.407104325112596,Building sample,1447.32297207173,Building sample,,,Not yet exported by production model
UNLV,UNLV,Rebels,Mountain West,https://cdn.collegefootballdata.com/logos/500/2439.png,#cf0a2c,1-1,1,1,2,1579.5418673162617,34.0,9.469852949966025,21.0,16.5,-0.541779873968057,0.338047679006287,Stable,1524.7344459389205,Average,,,Not yet exported by production model
Tulane,TULN,Green Wave,American Athletic,https://cdn.collegefootballdata.com/logos/500/2655.png,#006747,0-1,0,1,1,1577.3293781031616,35.0,-33.85217138994949,3.0,17.0,-7.47916117821174,-3.5623988640504094,Building sample,1621.523529362481,Building sample,,,Not yet exported by production model
Illinois,ILL,Fighting Illini,Big Ten,https://cdn.collegefootballdata.com/logos/500/356.png,#ff5f05,1-0,1,0,1,1574.7830034194762,36.0,18.160351541604996,42.0,23.0,4.155190091464522,1.9468150999463805,Building sample,1395.6840502683667,Building sample,,,Not yet exported by production model
Tennessee,TENN,Volunteers,SEC,https://cdn.collegefootballdata.com/logos/500/2633.png,#ff8200,1-0,1,0,1,1573.391241313004,37.0,9.774467409713225,56.0,9.0,28.10756495043441,7.515614608094263,Building sample,,Building sample,,,Not yet exported by production model
Arizona State,ASU,Sun Devils,Big 12,https://cdn.collegefootballdata.com/logos/500/9.png,#ffc627,1-0,1,0,1,1570.643693878074,38.0,9.470646791186027,70.0,7.0,45.97866816094542,11.968199379795657,Building sample,,Building sample,,,Not yet exported by production model
North Texas,UNT,Mean Green,American Athletic,https://cdn.collegefootballdata.com/logos/500/249.png,#00853e,0-1,0,1,1,1569.522854550036,39.0,-21.724927222047427,16.0,52.0,-19.683770742186347,-6.007189046648958,Building sample,1757.2937959056403,Building sample,,,Not yet exported by production model
Missouri,MIZ,Tigers,SEC,https://cdn.collegefootballdata.com/logos/500/142.png,#f1b82d,1-0,1,0,1,1568.378480927964,40.0,9.715715215103728,54.0,14.0,20.57161991913263,5.628690740538344,Building sample,,Building sample,,,Not yet exported by production model
Louisville,LOU,Cardinals,ACC,https://cdn.collegefootballdata.com/logos/500/97.png,#c9001f,0-1,0,1,1,1565.5862017265626,41.0,-15.607002478809363,38.0,41.0,7.717412004844302,1.1490028772706073,Building sample,1675.4652700523905,Building sample,,,Not yet exported by production model
Iowa State,ISU,Cyclones,Big 12,https://cdn.collegefootballdata.com/logos/500/66.png,#c8102e,1-0,1,0,1,1564.9563298209505,42.0,9.767282311216832,38.0,10.0,12.041963031199476,3.4988548733607105,Building sample,,Building sample,,,Not yet exported by production model
UConn,CONN,Huskies,FBS Independents,https://cdn.collegefootballdata.com/logos/500/41.png,#000e2f,1-0,1,0,1,1564.6236423255634,43.0,9.39455198646192,56.0,7.0,32.05092578119526,8.482459044621912,Building sample,,Building sample,,,Not yet exported by production model
Kansas State,KSU,Wildcats,Big 12,https://cdn.collegefootballdata.com/logos/500/2306.png,#512888,1-0,1,0,1,1561.5419234709886,44.0,9.381552273406442,71.0,3.0,49.12215420586011,12.74961616513535,Building sample,,Building sample,,,Not yet exported by production model
Boise State,BOIS,Broncos,Pac-12,https://cdn.collegefootballdata.com/logos/500/68.png,#0033a0,0-1,0,1,1,1560.3359444067046,45.0,-14.059374220616519,27.0,34.0,8.554916153408776,1.435760327321368,Building sample,1708.6248984822814,Building sample,,,Not yet exported by production model
Houston,HOU,Cougars,Big 12,https://cdn.collegefootballdata.com/logos/500/248.png,#c8102e,1-0,1,0,1,1559.0117102145005,46.0,13.426800559934918,33.0,20.0,-4.480832658245408,-0.4488681365646061,Building sample,1354.234153286215,Building sample,,,Not yet exported by production model
Kennesaw State,KENN,Owls,Conference USA,https://cdn.collegefootballdata.com/logos/500/338.png,#fdbb30,1-0,1,0,1,1558.6020896743212,47.0,10.69691482481062,47.0,0.0,37.57592666291026,9.928827406968097,Building sample,,Building sample,,,Not yet exported by production model
Western Michigan,WMU,Broncos,Mid-American,https://cdn.collegefootballdata.com/logos/500/2711.png,#532e1f,0-1,0,1,1,1556.3101785924891,48.0,-11.208394007465358,12.0,13.0,-1.9063716403597155,-1.0370126104631967,Building sample,1593.4951700755057,Building sample,,,Not yet exported by production model
Army,ARMY,Black Knights,American Athletic,https://cdn.collegefootballdata.com/logos/500/349.png,#000000,1-0,1,0,1,1553.2611891911174,49.0,10.468201758448458,59.0,3.0,39.58219299000976,10.418958335424863,Building sample,,Building sample,,,Not yet exported by production model
San Diego State,SDSU,Aztecs,Pac-12,https://cdn.collegefootballdata.com/logos/500/21.png,#a6192e,1-0,1,0,1,1552.8874805307128,50.0,9.797487228128375,53.0,20.0,13.339711781523313,3.824802306787247,Building sample,,Building sample,,,Not yet exported by production model
UTSA,UTSA,Roadrunners,American Athletic,https://cdn.collegefootballdata.com/logos/500/2636.png,#0c2340,1-0,1,0,1,1548.55270146998,51.0,11.133786379069988,45.0,16.0,12.731602770115884,3.7395900114824707,Building sample,,Building sample,,,Not yet exported by production model
Wake Forest,WAKE,Demon Deacons,ACC,https://cdn.collegefootballdata.com/logos/500/154.png,#ceb888,1-0,1,0,1,1548.2443996568095,52.0,22.71654955616941,38.0,16.0,9.538724843462006,3.520508688673972,Building sample,1397.2931038933596,Building sample,,,Not yet exported by production model
TCU,TCU,Horned Frogs,Big 12,https://cdn.collegefootballdata.com/logos/500/2628.png,#4d1979,0-1,0,1,1,1546.7519798112687,53.0,-35.12854018998655,10.0,15.0,-22.2203379387702,-7.311511494191878,Building sample,1472.8270752994415,Building sample,,,Not yet exported by production model
Nebraska,NEB,Cornhuskers,Big Ten,https://cdn.collegefootballdata.com/logos/500/158.png,#d00000,1-0,1,0,1,1546.367843230008,54.0,50.47365143558568,49.0,21.0,27.26024215553501,9.338743110663037,Building sample,1520.207933837767,Building sample,,,Not yet exported by production model
Minnesota,MINN,Golden Gophers,Big Ten,https://cdn.collegefootballdata.com/logos/500/135.png,#7a0019,1-0,1,0,1,1544.2209567406258,55.0,10.74394190744556,59.0,7.0,36.688865389199684,9.709413442672199,Building sample,,Building sample,,,Not yet exported by production model
Clemson,CLEM,Tigers,ACC,https://cdn.collegefootballdata.com/logos/500/228.png,#f56600,0-1,0,1,1,1528.292030377164,56.0,-50.07374808382406,10.0,51.0,-37.90553306872991,-11.98007067137368,Building sample,1586.061835262534,Building sample,,,Not yet exported by production model
Cincinnati,CIN,Bearcats,Big 12,https://cdn.collegefootballdata.com/logos/500/2132.png,#000000,1-0,1,0,1,1527.9312666571054,57.0,24.93305249670334,34.0,15.0,10.763069572488327,3.9374200179572485,Building sample,1402.86103970828,Building sample,,,Not yet exported by production model
East Carolina,ECU,Pirates,American Athletic,https://cdn.collegefootballdata.com/logos/500/151.png,#592a8a,0-1,0,1,1,1527.6523959313508,58.0,-32.76390639969236,10.0,48.0,-30.162737057676964,-9.178879584403859,Building sample,1652.1223719119694,Building sample,,,Not yet exported by production model
South Carolina,SC,Gamecocks,SEC,https://cdn.collegefootballdata.com/logos/500/2579.png,#73000a,1-0,1,0,1,1526.9127993667614,59.0,32.59244115439037,57.0,0.0,42.754440753022074,12.318232245975038,Building sample,1378.4805122428695,Building sample,,,Not yet exported by production model
Toledo,TOL,Rockets,Mid-American,https://cdn.collegefootballdata.com/logos/500/2649.png,#0b2240,0-1,0,1,1,1526.3409878225737,60.0,-40.88470747319184,20.0,30.0,-15.22142563638534,-5.849591782755927,Building sample,1474.5641971221996,Building sample,,,Not yet exported by production model
Troy,TROY,Trojans,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2653.png,#862633,1-0,1,0,1,1521.2872463220497,61.0,8.710962273829864,24.0,21.0,-13.533264025277518,-2.947767892627886,Building sample,1368.4562593564751,Building sample,,,Not yet exported by production model
Louisiana Tech,LT,Bulldogs,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2348.png,#003087,1-0,1,0,1,1521.2803614299037,62.0,11.250335825215188,80.0,6.0,54.72603895513366,14.244026530044174,Building sample,,Building sample,,,Not yet exported by production model
Florida,FLA,Gators,SEC,https://cdn.collegefootballdata.com/logos/500/57.png,#0021a5,1-0,1,0,1,1521.2253206157222,63.0,32.19086740769808,66.0,21.0,29.6931433722889,9.032829213457129,Building sample,1383.914886049812,Building sample,,,Not yet exported by production model
Ohio,OHIO,Bobcats,Mid-American,https://cdn.collegefootballdata.com/logos/500/195.png,#024230,0-1,0,1,1,1520.207933837767,64.0,-50.47365143558591,21.0,49.0,-27.26024215553501,-9.338743110663048,Building sample,1546.367843230008,Building sample,,,Not yet exported by production model
Georgia Tech,GT,Yellow Jackets,ACC,https://cdn.collegefootballdata.com/logos/500/59.png,#b3a369,0-1,0,1,1,1518.2220960427098,65.0,-21.981480854588654,13.0,14.0,-14.37668626246188,-4.693245608344903,Building sample,1461.9999472470438,Building sample,,,Not yet exported by production model
Northwestern,NU,Wildcats,Big Ten,https://cdn.collegefootballdata.com/logos/500/77.png,#582c83,1-0,1,0,1,1517.7880937075518,66.0,12.645544501334598,34.0,18.0,7.2553185445177775,2.4461068611961743,Building sample,,Building sample,,,Not yet exported by production model
Jacksonville State,JXST,Gamecocks,Conference USA,https://cdn.collegefootballdata.com/logos/500/55.png,#cc0000,1-1,1,1,2,1512.0758398952134,67.0,-15.682301321018258,28.0,20.0,4.847331233588424,0.4277177423461931,Stable,1637.6006689348062,Very tough,,,Not yet exported by production model
NC State,NCSU,Wolfpack,ACC,https://cdn.collegefootballdata.com/logos/500/152.png,#cc0000,0-1,0,1,1,1511.0598676959014,68.0,-34.021490234151315,8.0,34.0,-21.019858783174975,-6.956039207501309,Building sample,1604.2440014456408,Building sample,,,Not yet exported by production model
Louisiana,UL,Ragin' Cajuns,Sun Belt,https://cdn.collegefootballdata.com/logos/500/309.png,#ce181e,1-0,1,0,1,1509.6037116062794,69.0,12.28884244513415,38.0,7.0,22.150742091236005,6.1521276450657085,Building sample,,Building sample,,,Not yet exported by production model
Georgia Southern,GASO,Eagles,Sun Belt,https://cdn.collegefootballdata.com/logos/500/290.png,#041e42,1-0,1,0,1,1506.4602709441651,70.0,12.027089701706927,31.0,0.0,14.827293145291687,4.3081777714082685,Building sample,,Building sample,,,Not yet exported by production model
Texas State,TXST,Bobcats,Pac-12,https://cdn.collegefootballdata.com/logos/500/326.png,#501214,0-1,0,1,1,1505.9141167852154,71.0,-29.21770513111801,7.0,59.0,-41.297893011528686,-11.785358509438073,Building sample,1666.515321677154,Building sample,,,Not yet exported by production model
Fresno State,FRES,Bulldogs,Pac-12,https://cdn.collegefootballdata.com/logos/500/278.png,#c41230,0-1,0,1,1,1504.151209411583,72.0,-29.079112958059113,0.0,39.0,-33.36677648952952,-9.795649770285335,Building sample,1649.5393303781975,Building sample,,,Not yet exported by production model
Washington State,WSU,Cougars,Pac-12,https://cdn.collegefootballdata.com/logos/500/265.png,#a60f2d,0-1,0,1,1,1503.5186422185911,73.0,-24.824141684389588,10.0,24.0,-5.150920194034626,-2.528937132728136,Building sample,1606.424628129874,Building sample,,,Not yet exported by production model
Auburn,AUB,Tigers,SEC,https://cdn.collegefootballdata.com/logos/500/2.png,#0c2340,1-0,1,0,1,1499.484299630115,74.0,14.809102808825855,17.0,16.0,-11.382383281408146,-2.1051406799107437,Building sample,1465.4442234492535,Building sample,,,Not yet exported by production model
UCLA,UCLA,Bruins,Big Ten,https://cdn.collegefootballdata.com/logos/500/26.png,#2774ae,1-0,1,0,1,1498.4914925930905,75.0,57.461500776652656,45.0,24.0,34.6605889441227,11.538222274863308,Building sample,1416.0536047587236,Building sample,,,Not yet exported by production model
Kentucky,UK,Wildcats,SEC,https://cdn.collegefootballdata.com/logos/500/96.png,#0033a0,1-0,1,0,1,1495.942347413441,76.0,12.699205743880611,45.0,13.0,28.80335622087521,7.835799342412833,Building sample,,Building sample,,,Not yet exported by production model
Kansas,KU,Jayhawks,Big 12,https://cdn.collegefootballdata.com/logos/500/2305.png,#0051ba,1-0,1,0,1,1491.324831437856,77.0,13.64592224491139,51.0,6.0,32.57587713418363,8.826265395791477,Building sample,,Building sample,,,Not yet exported by production model
Delaware,DEL,Blue Hens,Conference USA,https://cdn.collegefootballdata.com/logos/500/48.png,#00539f,1-0,1,0,1,1489.5434894024193,78.0,12.376402683091328,42.0,7.0,19.16275311082982,5.409508411862021,Building sample,,Building sample,,,Not yet exported by production model
West Virginia,WVU,Mountaineers,Big 12,https://cdn.collegefootballdata.com/logos/500/277.png,#eaaa00,1-0,1,0,1,1484.7981788276638,79.0,24.225634856245733,31.0,24.0,-0.6782221126050976,1.0417262146610122,Building sample,1441.403696904315,Building sample,,,Not yet exported by production model
Florida International,FIU,Panthers,Conference USA,https://cdn.collegefootballdata.com/logos/500/2229.png,#091f3f,0-1,0,1,1,1482.326850841506,80.0,-19.58291445973373,9.0,19.0,3.1214144273543045,-0.19879211614811032,Building sample,1600.9149060683244,Building sample,,,Not yet exported by production model
Mississippi State,MSST,Bulldogs,SEC,https://cdn.collegefootballdata.com/logos/500/344.png,#5d1725,1-0,1,0,1,1476.8443120898185,81.0,30.750977460857484,62.0,13.0,36.270571294924444,10.605191696773986,Building sample,1327.4914765013743,Building sample,,,Not yet exported by production model
Michigan State,MSU,Spartans,Big Ten,https://cdn.collegefootballdata.com/logos/500/127.png,#173f35,1-0,1,0,1,1474.5641971221996,82.0,40.884707473192066,30.0,20.0,15.22142563638534,5.8495917827559385,Building sample,1526.3409878225737,Building sample,,,Not yet exported by production model
Miami (OH),M-OH,RedHawks,Mid-American,https://cdn.collegefootballdata.com/logos/500/193.png,#c41230,0-1,0,1,1,1474.4533089192437,83.0,-36.65004250629613,14.0,59.0,-35.620749418661866,-10.737689479980274,Building sample,1590.910518956548,Building sample,,,Not yet exported by production model
Nevada,NEV,Wolf Pack,Mountain West,https://cdn.collegefootballdata.com/logos/500/2440.png,#041e42,1-0,1,0,1,1474.1908156654058,84.0,57.046892898433725,49.0,14.0,32.77216109077429,11.045384917615259,Building sample,1460.731637303172,Building sample,,,Not yet exported by production model
North Carolina,UNC,Tar Heels,ACC,https://cdn.collegefootballdata.com/logos/500/153.png,#7bafd4,1-0,1,0,1,1472.8270752994415,85.0,35.128540189986325,15.0,10.0,22.2203379387702,7.311511494191866,Building sample,1546.7519798112687,Building sample,,,Not yet exported by production model
UCF,UCF,Knights,Big 12,https://cdn.collegefootballdata.com/logos/500/2116.png,#000000,1-0,1,0,1,1471.3066397908835,86.0,13.60852658664362,73.0,6.0,54.55998064080594,14.320421489533667,Building sample,,Building sample,,,Not yet exported by production model
Air Force,AF,Falcons,Mountain West,https://cdn.collegefootballdata.com/logos/500/2005.png,#003594,1-0,1,0,1,1470.3505244212342,87.0,13.380211844368887,34.0,0.0,14.100631961901502,4.19416858269382,Building sample,,Building sample,,,Not yet exported by production model
Florida State,FSU,Seminoles,ACC,https://cdn.collegefootballdata.com/logos/500/52.png,#782f40,1-1,1,1,2,1469.6144787585583,88.0,8.564328996036238,29.0,22.0,0.46186884679302587,0.5436836615000684,Stable,1514.3310703911375,Average,,,Not yet exported by production model
Marshall,MRSH,Thundering Herd,Sun Belt,https://cdn.collegefootballdata.com/logos/500/276.png,#00b140,0-1,0,1,1,1467.5779881294177,89.0,-29.77119133205747,0.0,45.0,-29.69502526641938,-8.912315883207718,Building sample,1617.3436917982244,Building sample,,,Not yet exported by production model
Sacramento State,SAC,Hornets,Mid-American,https://cdn.collegefootballdata.com/logos/500/16.png,#00573c,1-1,1,1,2,1467.08209342369,90.0,-19.503609446206383,34.5,14.0,24.416901397552767,5.129044877077873,Surging,1430.132003939019,Very soft,,,Not yet exported by production model
Baylor,BAY,Bears,Big 12,https://cdn.collegefootballdata.com/logos/500/239.png,#154734,0-1,0,1,1,1465.4442234492535,91.0,-14.809102808825855,16.0,17.0,11.382383281408146,2.1051406799107437,Building sample,1499.484299630115,Building sample,,,Not yet exported by production model
South Alabama,USA,Jaguars,Sun Belt,https://cdn.collegefootballdata.com/logos/500/6.png,#00205b,1-0,1,0,1,1464.4979621354546,92.0,13.92458501447777,39.0,14.0,10.71808200334167,3.3757497515593062,Building sample,,Building sample,,,Not yet exported by production model
Utah State,USU,Aggies,Pac-12,https://cdn.collegefootballdata.com/logos/500/328.png,#0f2439,0-1,0,1,1,1462.0753117543954,93.0,-23.12956594453226,17.0,29.0,-26.481239231996486,-7.776788105225735,Building sample,,Building sample,,,Not yet exported by production model
Colorado,COLO,Buffaloes,Big 12,https://cdn.collegefootballdata.com/logos/500/38.png,#cfb87c,1-0,1,0,1,1461.9999472470438,94.0,21.981480854588654,14.0,13.0,14.37668626246188,4.693245608344903,Building sample,1518.2220960427098,Building sample,,,Not yet exported by production model
Western Kentucky,WKU,Hilltoppers,Conference USA,https://cdn.collegefootballdata.com/logos/500/98.png,#c60c30,0-1,0,1,1,1460.731637303172,95.0,-57.046892898433725,14.0,49.0,-32.77216109077429,-11.045384917615259,Building sample,1474.1908156654058,Building sample,,,Not yet exported by production model
Southern Miss,USM,Golden Eagles,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2572.png,#ffc72c,1-0,1,0,1,1458.358405772854,96.0,14.43097056995407,49.0,3.0,33.01383854114637,8.975008163784295,Building sample,,Building sample,,,Not yet exported by production model
Arkansas State,ARST,Red Wolves,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2032.png,#cc092f,0-1,0,1,1,1457.7234579804974,97.0,-22.967758889134984,24.0,42.0,-7.1533153288925675,-2.936716776679891,Building sample,1593.195214576133,Building sample,,,Not yet exported by production model
App State,APP,Mountaineers,Sun Belt,https://cdn.collegefootballdata.com/logos/500/2026.png,#000000,1-0,1,0,1,1457.3286519056123,98.0,14.417599479922046,55.0,3.0,40.428624226267154,10.82803603056289,Building sample,,Building sample,,,Not yet exported by production model
Hawai'i,HAW,Rainbow Warriors,Mountain West,https://cdn.collegefootballdata.com/logos/500/62.png,#024731,0-2,0,2,2,1456.273677301708,99.0,-83.03324214179247,16.5,29.0,-12.546641542988738,-7.288322492836808,Struggling,1514.4841087390325,Average,,,Not yet exported by production model
Wisconsin,WIS,Badgers,Big Ten,https://cdn.collegefootballdata.com/logos/500/275.png,#a00000,0-1,0,1,1,1453.788383076508,100.0,-20.171808958173642,13.0,41.0,-5.135462894455639,-2.2924561715225917,Building sample,1714.3346999478958,Building sample,,,Not yet exported by production model
Missouri State,MOST,Bears,Conference USA,https://cdn.collegefootballdata.com/logos/500/2623.png,#5e0009,0-1,0,1,1,1451.4597308110424,101.0,-22.072237710441414,0.0,50.0,-35.495928741659,-9.97759407093682,Building sample,1653.9543744575,Building sample,,,Not yet exported by production model
