game_id,season,week,start_date,home_team,away_team,home_points,away_points,drive_containers,offense_team_count,defense_team_count,pbp_offense_teams,pbp_defense_teams,min_period,max_period,min_team_drives,max_team_drives,one_play_drives,one_play_share,other_drives,other_share,fragmented,incomplete,extreme_possessions,bad_offense_count,bad_defense_count,offense_team_mismatch,defense_team_mismatch,bad_team_structure,quarantine,quarantine_reason
401757171,2025,6,2025-10-04 19:30:00+00:00,UConn,Florida International,51.0,10.0,30,2,2,Florida International | UConn,Florida International | UConn,1,4,15,15,3,0.1,3,0.1,False,False,False,False,False,False,False,False,False,HEALTHY
401757172,2025,9,2025-10-25 19:00:00+00:00,Rice,UConn,37.0,34.0,32,2,2,Rice | UConn,Rice | UConn,1,6,16,16,3,0.09375,11,0.34375,False,False,False,False,False,False,False,False,False,HEALTHY
401757173,2025,10,2025-11-01 16:00:00+00:00,UConn,UAB,38.0,19.0,20,2,2,UAB | UConn,UAB | UConn,1,4,10,10,2,0.1,5,0.25,False,False,False,False,False,False,False,False,False,HEALTHY
401757174,2025,12,2025-11-15 17:00:00+00:00,UConn,Air Force,26.0,16.0,18,2,2,Air Force | UConn,Air Force | UConn,1,4,9,9,1,0.0555555555555555,4,0.2222222222222222,False,False,False,False,False,False,False,False,False,HEALTHY
401757175,2025,13,2025-11-22 20:00:00+00:00,Florida Atlantic,UConn,45.0,48.0,24,2,2,Florida Atlantic | UConn,Florida Atlantic | UConn,1,4,12,12,0,0.0,1,0.0416666666666666,False,False,False,False,False,False,False,False,False,HEALTHY
401757218,2025,1,2025-08-23 23:00:00+00:00,Western Kentucky,Sam Houston,41.0,24.0,30,2,2,Sam Houston | Western Kentucky,Sam Houston | Western Kentucky,1,4,15,15,1,0.0333333333333333,4,0.1333333333333333,False,False,False,False,False,False,False,False,False,HEALTHY
401757219,2025,1,2025-08-28 23:00:00+00:00,Delaware,Delaware State,35.0,17.0,19,2,2,Delaware | Delaware State,Delaware | Delaware State,1,4,9,10,1,0.0526315789473684,1,0.0526315789473684,False,False,False,False,False,False,False,False,False,HEALTHY
401757220,2025,1,2025-08-30 20:00:00+00:00,Liberty,Maine,28.0,7.0,23,2,2,Liberty | Maine,Liberty | Maine,1,4,11,12,2,0.0869565217391304,5,0.217391304347826,False,False,False,False,False,False,False,False,False,HEALTHY
401757221,2025,1,2025-08-30 23:30:00+00:00,Louisiana Tech,SE Louisiana,24.0,0.0,24,2,2,Louisiana Tech | SE Louisiana,Louisiana Tech | SE Louisiana,1,4,12,12,0,0.0,3,0.125,False,False,False,False,False,False,False,False,False,HEALTHY
401757222,2025,1,2025-08-30 23:00:00+00:00,Middle Tennessee,Austin Peay,14.0,34.0,27,2,2,Austin Peay | Middle Tennessee,Austin Peay | Middle Tennessee,1,4,13,14,1,0.037037037037037,3,0.1111111111111111,False,False,False,False,False,False,False,False,False,HEALTHY
401757223,2025,1,2025-08-31 01:00:00+00:00,New Mexico State,Bryant,19.0,3.0,27,2,2,Bryant | New Mexico State,Bryant | New Mexico State,1,4,12,15,3,0.1111111111111111,4,0.1481481481481481,False,False,False,False,False,False,False,False,False,HEALTHY
401757224,2025,1,2025-08-30 01:30:00+00:00,Sam Houston,UNLV,21.0,38.0,21,2,2,Sam Houston | UNLV,Sam Houston | UNLV,1,4,10,11,0,0.0,4,0.1904761904761904,False,False,False,False,False,False,False,False,False,HEALTHY
401757225,2025,1,2025-08-30 23:30:00+00:00,Utah State,UTEP,28.0,16.0,26,2,2,UTEP | Utah State,UTEP | Utah State,1,4,13,13,1,0.0384615384615384,1,0.0384615384615384,False,False,False,False,False,False,False,False,False,HEALTHY
401757226,2025,1,2025-08-30 23:00:00+00:00,Western Kentucky,North Alabama,55.0,6.0,27,2,2,North Alabama | Western Kentucky,North Alabama | Western Kentucky,1,4,13,14,2,0.074074074074074,4,0.1481481481481481,False,False,False,False,False,False,False,False,False,HEALTHY
401757227,2025,2,2025-09-06 16:00:00+00:00,Jacksonville State,Liberty,34.0,24.0,22,2,2,Jacksonville State | Liberty,Jacksonville State | Liberty,1,4,11,11,0,0.0,3,0.1363636363636363,False,False,False,False,False,False,False,False,False,HEALTHY
401757228,2025,2,2025-09-06 22:00:00+00:00,Marshall,Missouri State,20.0,21.0,18,2,2,Marshall | Missouri State,Marshall | Missouri State,1,4,6,12,0,0.0,2,0.1111111111111111,False,False,False,False,False,False,False,False,False,HEALTHY
401757229,2025,2,2025-09-07 01:00:00+00:00,New Mexico State,Tulsa,21.0,14.0,19,2,2,New Mexico State | Tulsa,New Mexico State | Tulsa,1,4,8,11,0,0.0,5,0.2631578947368421,False,False,False,False,False,False,False,False,False,HEALTHY
401757230,2025,2,2025-09-07 03:59:00+00:00,Hawai'i,Sam Houston,37.0,20.0,22,2,2,Hawai'i | Sam Houston,Hawai'i | Sam Houston,1,4,11,11,0,0.0,1,0.0454545454545454,False,False,False,False,False,False,False,False,False,HEALTHY
401757231,2025,2,2025-09-07 01:00:00+00:00,UTEP,UT Martin,42.0,17.0,29,2,2,UT Martin | UTEP,UT Martin | UTEP,1,4,14,15,1,0.0344827586206896,6,0.2068965517241379,False,False,False,False,False,False,False,False,False,HEALTHY
401757232,2025,2,2025-09-06 23:00:00+00:00,Toledo,Western Kentucky,45.0,21.0,25,2,2,Toledo | Western Kentucky,Toledo | Western Kentucky,1,4,12,13,1,0.04,3,0.12,False,False,False,False,False,False,False,False,False,HEALTHY
401757233,2025,3,2025-09-13 22:00:00+00:00,Florida International,Florida Atlantic,38.0,28.0,28,2,2,Florida Atlantic | Florida International,Florida Atlantic | Florida International,1,4,14,14,1,0.0357142857142857,5,0.1785714285714285,False,False,False,False,False,False,False,False,False,HEALTHY
401757234,2025,3,2025-09-13 23:00:00+00:00,Georgia Southern,Jacksonville State,41.0,34.0,22,2,2,Georgia Southern | Jacksonville State,Georgia Southern | Jacksonville State,1,4,11,11,2,0.0909090909090909,1,0.0454545454545454,False,False,False,False,False,False,False,False,False,HEALTHY
401757235,2025,3,2025-09-13 22:00:00+00:00,Kennesaw State,Merrimack,27.0,13.0,19,2,2,Kennesaw State | Merrimack,Kennesaw State | Merrimack,1,4,9,10,0,0.0,2,0.1052631578947368,False,False,False,False,False,False,False,False,False,HEALTHY
401757256,2025,3,2025-09-13 21:00:00+00:00,Bowling Green,Liberty,23.0,13.0,24,2,2,Bowling Green | Liberty,Bowling Green | Liberty,1,4,12,12,2,0.0833333333333333,2,0.0833333333333333,False,False,False,False,False,False,False,False,False,HEALTHY
401757257,2025,3,2025-09-13 23:30:00+00:00,Louisiana Tech,New Mexico State,49.0,14.0,29,2,2,Louisiana Tech | New Mexico State,Louisiana Tech | New Mexico State,1,4,14,15,5,0.1724137931034483,0,0.0,False,False,False,False,False,False,False,False,False,HEALTHY
401757258,2025,3,2025-09-13 21:00:00+00:00,Nevada,Middle Tennessee,13.0,14.0,26,2,2,Middle Tennessee | Nevada,Middle Tennessee | Nevada,1,4,13,13,2,0.0769230769230769,1,0.0384615384615384,False,False,False,False,False,False,False,False,False,HEALTHY
401757259,2025,4,2025-09-20 22:00:00+00:00,Florida International,Delaware,16.0,38.0,18,2,2,Delaware | Florida International,Delaware | Florida International,1,4,8,10,0,0.0,2,0.1111111111111111,False,False,False,False,False,False,False,False,False,HEALTHY
401757260,2025,4,2025-09-20 23:00:00+00:00,Jacksonville State,Murray State,45.0,10.0,26,2,2,Jacksonville State | Murray State,Jacksonville State | Murray State,1,4,13,13,2,0.0769230769230769,2,0.0769230769230769,False,False,False,False,False,False,False,False,False,HEALTHY
401757261,2025,4,2025-09-20 22:00:00+00:00,Kennesaw State,Arkansas State,28.0,21.0,26,2,2,Arkansas State | Kennesaw State,Arkansas State | Kennesaw State,1,4,13,13,0,0.0,5,0.1923076923076923,False,False,False,False,False,False,False,False,False,HEALTHY
401757262,2025,4,2025-09-20 19:30:00+00:00,Liberty,James Madison,13.0,31.0,14,2,2,James Madison | Liberty,James Madison | Liberty,1,4,7,7,0,0.0,1,0.0714285714285714,False,False,False,False,False,False,False,False,False,HEALTHY
401757263,2025,4,2025-09-20 23:30:00+00:00,Louisiana Tech,Southern Miss,30.0,20.0,27,2,2,Louisiana Tech | Southern Miss,Louisiana Tech | Southern Miss,1,4,13,14,2,0.074074074074074,2,0.074074074074074,False,False,False,False,False,False,False,False,False,HEALTHY
401757264,2025,4,2025-09-20 23:00:00+00:00,Middle Tennessee,Marshall,28.0,42.0,23,2,2,Marshall | Middle Tennessee,Marshall | Middle Tennessee,1,4,11,12,1,0.0434782608695652,1,0.0434782608695652,False,False,False,False,False,False,False,False,False,HEALTHY
