game_id,season,week,elo_difference,rating_difference,state_maturity,side,team,opponent,actual_points,actual_40_plus,actual_10_or_less,expected_points,prob_40_plus,prob_10_or_less,expected_drives,ppd,td_rate,fg_rate,turnover_rate,success_rate,ppa,explosive_rate,yards_per_drive,matchup_ratio
401282822,2021,1,75.0,0.0,0.0,home,Rutgers,Temple,61.0,1.0,0.0,28.179,0.167,0.055,11.479,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401282822,2021,1,75.0,0.0,0.0,away,Temple,Rutgers,14.0,0.0,0.0,27.93,0.137,0.062,11.454,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401286188,2021,1,55.15690631878556,-22.19438072231054,0.0,home,UConn,Holy Cross,28.0,0.0,0.0,20.694,0.049,0.191,11.881,1.7084099352171824,0.2255884602724883,0.100399203184089,0.1192211903738981,0.3770577547957745,-0.0923137539176704,0.0789342251599863,28.579157400600483,0.8236090318867803
401286188,2021,1,55.15690631878556,-22.19438072231054,0.0,away,Holy Cross,UConn,38.0,0.0,0.0,31.29,0.24,0.038,11.848,2.3732820638427805,0.316464176136962,0.1124785693873662,0.1109162942073151,0.4404851478714531,0.1669043683900367,0.11688773605037,36.8313707220314,1.0477269365727937
401287889,2021,1,0.0,0.0,0.0,home,Kansas State,Stanford,24.0,0.0,0.0,27.75,0.142,0.07,11.52,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287889,2021,1,0.0,0.0,0.0,away,Stanford,Kansas State,7.0,0.0,1.0,27.972,0.158,0.059,11.528,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287894,2021,1,75.0,0.0,0.0,home,Oklahoma,Tulane,40.0,1.0,0.0,28.158,0.142,0.062,11.498,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401287894,2021,1,75.0,0.0,0.0,away,Tulane,Oklahoma,35.0,0.0,0.0,28.363,0.154,0.055,11.482,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309601,2021,1,75.0,0.0,0.0,home,Georgia State,Army,10.0,0.0,1.0,27.39,0.151,0.073,11.449,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
401309601,2021,1,75.0,0.0,0.0,away,Army,Georgia State,43.0,1.0,0.0,27.739,0.144,0.057,11.513,2.25,0.3,0.12,0.12,0.42,0.0,0.1,35.0,1.0
